Dataset,Source,Error
HilPos 03/24,Metlin:186,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:187,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:188,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:189,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:190,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:191,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:192,Invalid KEGG ID (?)
HilPos 03/24,Metlin:193,Invalid KEGG ID (?)
HilPos 03/24,Metlin:194,Invalid KEGG ID (?)
HilPos 03/24,Metlin:195,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:198,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:199,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:200,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:201,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:202,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:203,Invalid KEGG ID (?)
HilPos 03/24,Metlin:204,Invalid KEGG ID (?)
HilPos 03/24,Metlin:205,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:206,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:208,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:209,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:211,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:212,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:213,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:214,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:215,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:216,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:217,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:218,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:219,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:221,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:224,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:225,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:226,Invalid KEGG ID (?)
HilPos 03/24,Metlin:228,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:229,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:230,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:231,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:232,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:233,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:234,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:236,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:237,Invalid KEGG ID (?)
HilPos 03/24,Metlin:238,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:239,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:241,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:242,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:243,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:247,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:248,Invalid KEGG ID (?)
HilPos 03/24,Metlin:249,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:250,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:251,Invalid KEGG ID (?)
HilPos 03/24,Metlin:252,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:253,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:254,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:255,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:256,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:258,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:259,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:260,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:261,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:262,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:263,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:264,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:265,Invalid KEGG ID (?)
HilPos 03/24,Metlin:266,Invalid KEGG ID (?)
HilPos 03/24,Metlin:267,Invalid KEGG ID (?)
HilPos 03/24,Metlin:268,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:269,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:270,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:271,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:272,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:273,Invalid KEGG ID (?)
HilPos 03/24,Metlin:274,Invalid KEGG ID (?)
HilPos 03/24,Metlin:275,Invalid KEGG ID (?)
HilPos 03/24,Metlin:276,Invalid KEGG ID (?)
HilPos 03/24,Metlin:277,Invalid KEGG ID (?)
HilPos 03/24,Metlin:278,Invalid KEGG ID (?)
HilPos 03/24,Metlin:279,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:280,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:281,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:282,Invalid KEGG ID (?)
HilPos 03/24,Metlin:283,Invalid KEGG ID (?)
HilPos 03/24,Metlin:284,Invalid KEGG ID (?)
HilPos 03/24,Metlin:285,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:286,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:287,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:288,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:289,Invalid KEGG ID (?)
HilPos 03/24,Metlin:290,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:291,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:293,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:294,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:295,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:297,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:298,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:299,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:300,Invalid KEGG ID (?)
HilPos 03/24,Metlin:301,Invalid KEGG ID (?)
HilPos 03/24,Metlin:302,Invalid KEGG ID (?)
HilPos 03/24,Metlin:303,Invalid KEGG ID (?)
HilPos 03/24,Metlin:304,Invalid KEGG ID (?)
HilPos 03/24,Metlin:305,Invalid KEGG ID (?)
HilPos 03/24,Metlin:306,Invalid KEGG ID (?)
HilPos 03/24,Metlin:307,Invalid KEGG ID (?)
HilPos 03/24,Metlin:309,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:310,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:311,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:312,Invalid KEGG ID (?)
HilPos 03/24,Metlin:313,Invalid KEGG ID (?)
HilPos 03/24,Metlin:314,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:315,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:317,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:318,Invalid KEGG ID (?)
HilPos 03/24,Metlin:319,Invalid KEGG ID (?)
HilPos 03/24,Metlin:320,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:321,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:322,Invalid KEGG ID (?)
HilPos 03/24,Metlin:323,Invalid KEGG ID (?)
HilPos 03/24,Metlin:324,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:325,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:326,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:327,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:330,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:331,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:332,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:333,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:335,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:336,Invalid KEGG ID (?)
HilPos 03/24,Metlin:338,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:339,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:340,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:341,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:342,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:343,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:344,Invalid KEGG ID (?)
HilPos 03/24,Metlin:345,Invalid KEGG ID (?)
HilPos 03/24,Metlin:346,Invalid KEGG ID (?)
HilPos 03/24,Metlin:348,Invalid KEGG ID (?)
HilPos 03/24,Metlin:349,Invalid KEGG ID (?)
HilPos 03/24,Metlin:350,Invalid KEGG ID (?)
HilPos 03/24,Metlin:351,Invalid KEGG ID (?)
HilPos 03/24,Metlin:353,Invalid KEGG ID (?)
HilPos 03/24,Metlin:354,Invalid KEGG ID (?)
HilPos 03/24,Metlin:355,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:356,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:357,Invalid KEGG ID (?)
HilPos 03/24,Metlin:359,Invalid KEGG ID (?)
HilPos 03/24,Metlin:360,Invalid KEGG ID (?)
HilPos 03/24,Metlin:361,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:362,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:363,Invalid KEGG ID (?)
HilPos 03/24,Metlin:364,Invalid KEGG ID (?)
HilPos 03/24,Metlin:365,Invalid KEGG ID (?)
HilPos 03/24,Metlin:366,Invalid KEGG ID (?)
HilPos 03/24,Metlin:367,Invalid KEGG ID (?)
HilPos 03/24,Metlin:368,Invalid KEGG ID (?)
HilPos 03/24,Metlin:369,Invalid KEGG ID (?)
HilPos 03/24,Metlin:370,Invalid KEGG ID (?)
HilPos 03/24,Metlin:371,Invalid KEGG ID (?)
HilPos 03/24,Metlin:372,Invalid KEGG ID (?)
HilPos 03/24,Metlin:373,Invalid KEGG ID (?)
HilPos 03/24,Metlin:374,Invalid KEGG ID (?)
HilPos 03/24,Metlin:375,Invalid KEGG ID (?)
HilPos 03/24,Metlin:376,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:377,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:378,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:379,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:380,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:381,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:383,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:384,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:385,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:386,Invalid KEGG ID (?)
HilPos 03/24,Metlin:387,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:389,Invalid KEGG ID (?)
HilPos 03/24,Metlin:393,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:394,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:395,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:396,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:397,Invalid KEGG ID (?)
HilPos 03/24,Metlin:398,Invalid KEGG ID (?)
HilPos 03/24,Metlin:399,Invalid KEGG ID (?)
HilPos 03/24,Metlin:400,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:406,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:407,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:408,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:409,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:410,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:411,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:412,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:413,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:414,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:415,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:416,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:417,Invalid KEGG ID (?)
HilPos 03/24,Metlin:418,Invalid KEGG ID (?)
HilPos 03/24,Metlin:419,Invalid KEGG ID (?)
HilPos 03/24,Metlin:420,Invalid KEGG ID (?)
HilPos 03/24,Metlin:421,Invalid KEGG ID (?)
HilPos 03/24,Metlin:422,Invalid KEGG ID (?)
HilPos 03/24,Metlin:423,Invalid KEGG ID (?)
HilPos 03/24,Metlin:424,Invalid KEGG ID (?)
HilPos 03/24,Metlin:425,Invalid KEGG ID (?)
HilPos 03/24,Metlin:426,Invalid KEGG ID (?)
HilPos 03/24,Metlin:427,Invalid KEGG ID (?)
HilPos 03/24,Metlin:428,Invalid KEGG ID (?)
HilPos 03/24,Metlin:429,Invalid KEGG ID (?)
HilPos 03/24,Metlin:430,Invalid KEGG ID (?)
HilPos 03/24,Metlin:431,Invalid KEGG ID (?)
HilPos 03/24,Metlin:432,Invalid KEGG ID (?)
HilPos 03/24,Metlin:433,Invalid KEGG ID (?)
HilPos 03/24,Metlin:434,Invalid KEGG ID (?)
HilPos 03/24,Metlin:435,Invalid KEGG ID (?)
HilPos 03/24,Metlin:436,Invalid KEGG ID (?)
HilPos 03/24,Metlin:437,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:438,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:439,Invalid KEGG ID (?)
HilPos 03/24,Metlin:440,Invalid KEGG ID (?)
HilPos 03/24,Metlin:441,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:442,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:443,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:444,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:445,Invalid KEGG ID (?)
HilPos 03/24,Metlin:446,Invalid KEGG ID (?)
HilPos 03/24,Metlin:447,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:448,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:449,Invalid KEGG ID (?)
HilPos 03/24,Metlin:450,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:451,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:453,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:454,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:455,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:457,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:458,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:459,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:460,Invalid KEGG ID (?)
HilPos 03/24,Metlin:461,Invalid KEGG ID (?)
HilPos 03/24,Metlin:462,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:463,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:464,Invalid KEGG ID (?)
HilPos 03/24,Metlin:465,Invalid KEGG ID (?)
HilPos 03/24,Metlin:466,Invalid KEGG ID (?)
HilPos 03/24,Metlin:467,Invalid KEGG ID (?)
HilPos 03/24,Metlin:468,Invalid KEGG ID (?)
HilPos 03/24,Metlin:469,Invalid KEGG ID (?)
HilPos 03/24,Metlin:470,Invalid KEGG ID (?)
HilPos 03/24,Metlin:471,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:472,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:474,Invalid KEGG ID (?)
HilPos 03/24,Metlin:475,Invalid KEGG ID (?)
HilPos 03/24,Metlin:476,Invalid KEGG ID (?)
HilPos 03/24,Metlin:477,Invalid KEGG ID (?)
HilPos 03/24,Metlin:478,Invalid KEGG ID (?)
HilPos 03/24,Metlin:479,Invalid KEGG ID (?)
HilPos 03/24,Metlin:480,Invalid KEGG ID (?)
HilPos 03/24,Metlin:481,Invalid KEGG ID (?)
HilPos 03/24,Metlin:482,Invalid KEGG ID (?)
HilPos 03/24,Metlin:483,Invalid KEGG ID (?)
HilPos 03/24,Metlin:484,Invalid KEGG ID (?)
HilPos 03/24,Metlin:485,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:486,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:487,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:488,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:489,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:490,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:491,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:492,Invalid KEGG ID (?)
HilPos 03/24,Metlin:493,Invalid KEGG ID (?)
HilPos 03/24,Metlin:494,Invalid KEGG ID (?)
HilPos 03/24,Metlin:495,Invalid KEGG ID (?)
HilPos 03/24,Metlin:496,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:497,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:498,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:499,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:500,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:501,Invalid KEGG ID (?)
HilPos 03/24,Metlin:502,Invalid KEGG ID (?)
HilPos 03/24,Metlin:504,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:505,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:506,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:507,Invalid Metlin Score: not a number (nan)
HilPos 03/24,Metlin:508,Invalid KEGG ID (?)
HilPos 03/24,Metlin:510,Invalid Metlin Score: not a number (nan)
