"Pathway Id","Pathway Name","Reaction Id","Reaction Definition","Reaction Type","Reaction Substrates","Reaction Products","Enzyme Id","Enzyme Substrates","Enzyme Products","Notes"
"cge00061","Fatty acid biosynthesis","R04953","(R)-3-Hydroxyhexanoyl-[acp] + NADP+ <=> 3-Oxohexanoyl-[acp] + NADPH + H+","reversible","C05747 C00006","C05746 C00005 C00080","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R04952","Butyryl-[acp] + Malonyl-[acyl-carrier protein] <=> 3-Oxohexanoyl-[acp] + CO2 + Acyl-carrier protein","irreversible","C05745 C01209","C05746 C00011 C00229","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R04428","(3R)-3-Hydroxybutanoyl-[acyl-carrier protein] <=> But-2-enoyl-[acyl-carrier protein] + H2O","reversible","C04618","C04246 C00001","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R04533","(3R)-3-Hydroxybutanoyl-[acyl-carrier protein] + NADP+ <=> Acetoacetyl-[acp] + NADPH + H+","reversible","C04618 C00006","C05744 C00005 C00080","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R04355","Acetyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] <=> Acetoacetyl-[acp] + CO2 + Acyl-carrier protein","irreversible","C03939 C01209","C05744 C00011 C00229","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R01626","Malonyl-CoA + Acyl-carrier protein <=> CoA + Malonyl-[acyl-carrier protein]","reversible","C00083 C00229","C00010 C01209","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R01626","Malonyl-CoA + Acyl-carrier protein <=> CoA + Malonyl-[acyl-carrier protein]","reversible","C00083 C00229","C00010 C01209","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R01624","Acetyl-CoA + Acyl-carrier protein <=> CoA + Acetyl-[acyl-carrier protein]","irreversible","C00024 C00229","C00010 C03939","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00061","Fatty acid biosynthesis","R04355","Acetyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] <=> Acetoacetyl-[acp] + CO2 + Acyl-carrier protein","irreversible","C03939 C01209","C05744 C00011 C00229","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00071","Fatty acid degradation","R04751","Hexanoyl-CoA + FAD <=> trans-Hex-2-enoyl-CoA + FADH2","irreversible","C05270 C00016","C05271 C01352","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00071","Fatty acid degradation","R01175","Butanoyl-CoA + FAD <=> FADH2 + Crotonoyl-CoA","irreversible","C00136 C00016","C01352 C00877","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00071","Fatty acid degradation","R01175","Butanoyl-CoA + FAD <=> FADH2 + Crotonoyl-CoA","irreversible","C00136 C00016","C01352 C00877","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00071","Fatty acid degradation","R01175","Butanoyl-CoA + FAD <=> FADH2 + Crotonoyl-CoA","irreversible","C00136 C00016","C01352 C00877","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00071","Fatty acid degradation","R04751","Hexanoyl-CoA + FAD <=> trans-Hex-2-enoyl-CoA + FADH2","irreversible","C05270 C00016","C05271 C01352","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00071","Fatty acid degradation","R04751","Hexanoyl-CoA + FAD <=> trans-Hex-2-enoyl-CoA + FADH2","irreversible","C05270 C00016","C05271 C01352","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00071","Fatty acid degradation","R04751","Hexanoyl-CoA + FAD <=> trans-Hex-2-enoyl-CoA + FADH2","irreversible","C05270 C00016","C05271 C01352","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00071","Fatty acid degradation","R03777","Octanoyl-CoA + FAD <=> trans-Oct-2-enoyl-CoA + FADH2","irreversible","C01944 C00016","C05276 C01352","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00071","Fatty acid degradation","R03777","Octanoyl-CoA + FAD <=> trans-Oct-2-enoyl-CoA + FADH2","irreversible","C01944 C00016","C05276 C01352","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00071","Fatty acid degradation","R04754","Decanoyl-CoA + FAD <=> trans-Dec-2-enoyl-CoA + FADH2","irreversible","C05274 C00016","C05275 C01352","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00071","Fatty acid degradation","R04754","Decanoyl-CoA + FAD <=> trans-Dec-2-enoyl-CoA + FADH2","irreversible","C05274 C00016","C05275 C01352","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00071","Fatty acid degradation","R03857","Lauroyl-CoA + FAD <=> 2-trans-Dodecenoyl-CoA + FADH2","irreversible","C01832 C00016","C03221 C01352","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00071","Fatty acid degradation","R03857","Lauroyl-CoA + FAD <=> 2-trans-Dodecenoyl-CoA + FADH2","irreversible","C01832 C00016","C03221 C01352","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00071","Fatty acid degradation","R03990","Tetradecanoyl-CoA + FAD <=> trans-Tetradec-2-enoyl-CoA + FADH2","irreversible","C02593 C00016","C05273 C01352","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00071","Fatty acid degradation","R03990","Tetradecanoyl-CoA + FAD <=> trans-Tetradec-2-enoyl-CoA + FADH2","irreversible","C02593 C00016","C05273 C01352","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00071","Fatty acid degradation","R01279","Palmitoyl-CoA + FAD <=> trans-Hexadec-2-enoyl-CoA + FADH2","irreversible","C00154 C00016","C05272 C01352","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00071","Fatty acid degradation","R01279","Palmitoyl-CoA + FAD <=> trans-Hexadec-2-enoyl-CoA + FADH2","irreversible","C00154 C00016","C05272 C01352","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00071","Fatty acid degradation","R01175","Butanoyl-CoA + FAD <=> FADH2 + Crotonoyl-CoA","irreversible","C00136 C00016","C01352 C00877","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00071","Fatty acid degradation","R04751","Hexanoyl-CoA + FAD <=> trans-Hex-2-enoyl-CoA + FADH2","irreversible","C05270 C00016","C05271 C01352","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00071","Fatty acid degradation","R03777","Octanoyl-CoA + FAD <=> trans-Oct-2-enoyl-CoA + FADH2","irreversible","C01944 C00016","C05276 C01352","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00071","Fatty acid degradation","R04754","Decanoyl-CoA + FAD <=> trans-Dec-2-enoyl-CoA + FADH2","irreversible","C05274 C00016","C05275 C01352","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00071","Fatty acid degradation","R03857","Lauroyl-CoA + FAD <=> 2-trans-Dodecenoyl-CoA + FADH2","irreversible","C01832 C00016","C03221 C01352","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00071","Fatty acid degradation","R03990","Tetradecanoyl-CoA + FAD <=> trans-Tetradec-2-enoyl-CoA + FADH2","irreversible","C02593 C00016","C05273 C01352","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00071","Fatty acid degradation","R01279","Palmitoyl-CoA + FAD <=> trans-Hexadec-2-enoyl-CoA + FADH2","irreversible","C00154 C00016","C05272 C01352","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00071","Fatty acid degradation","R01279","Palmitoyl-CoA + FAD <=> trans-Hexadec-2-enoyl-CoA + FADH2","irreversible","C00154 C00016","C05272 C01352","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00071","Fatty acid degradation","R03990","Tetradecanoyl-CoA + FAD <=> trans-Tetradec-2-enoyl-CoA + FADH2","irreversible","C02593 C00016","C05273 C01352","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00100","Steroid biosynthesis","R07493","24-Methylenecholesterol + NADPH + H+ <=> Campesterol + NADP+","irreversible","C15781 C00005 C00080","C01789 C00006","1.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00100","Steroid biosynthesis","R07488","Isofucosterol + NADPH + H+ <=> beta-Sitosterol + NADP+","irreversible","C08821 C00005 C00080","C01753 C00006","1.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00100","Steroid biosynthesis","R11096","24-Methylenecholesterol + NADPH + H+ <=> 24-epi-Campesterol + NADP+","irreversible","C15781 C00005 C00080","C21106 C00006","1.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00140","Steroid hormone biosynthesis","R03408","Dehydroepiandrosterone + H+ + Oxygen + NADPH <=> 16alpha-Hydroxydehydroepiandrosterone + NADP+ + H2O","reversible","C01227 C00080 C00007 C00005","C05139 C00006 C00001","1.14.13.-","","","Enzyme id contains a wildcard character. "
"cge00140","Steroid hormone biosynthesis","R03847","Corticosterone + NAD+ <=> 11-Dehydrocorticosterone + NADH + H+","irreversible","C02140 C00003","C05490 C00004 C00080","1.1.1.-","","","Enzyme id contains a wildcard character. "
"cge00140","Steroid hormone biosynthesis","R02834","Cortisol + NAD+ <=> Cortisone + NADH + H+","irreversible","C00735 C00003","C00762 C00004 C00080","1.1.1.-","","","Enzyme id contains a wildcard character. "
"cge00140","Steroid hormone biosynthesis","R02356","Estrone + H+ + Oxygen + NADPH <=> 16alpha-Hydroxyestrone + NADP+ + H2O","irreversible","C00468 C00080 C00007 C00005","C05300 C00006 C00001","1.14.13.-","","","Enzyme id contains a wildcard character. "
"cge00140","Steroid hormone biosynthesis","R03408","Dehydroepiandrosterone + H+ + Oxygen + NADPH <=> 16alpha-Hydroxydehydroepiandrosterone + NADP+ + H2O","irreversible","C01227 C00080 C00007 C00005","C05139 C00006 C00001","1.14.13.-","","","Enzyme id contains a wildcard character. "
"cge00230","Purine metabolism","R02297","Xanthosine + Orthophosphate <=> Xanthine + alpha-D-Ribose 1-phosphate","reversible","C01762 C00009","C00385 C00620","2.4.2.-","","","Enzyme id contains a wildcard character. "
"cge00230","Purine metabolism","R01054","ADP-ribose + H2O <=> AMP + D-Ribose 5-phosphate","irreversible","C00301 C00001","C00020 C00117","3.6.1.-","","","Enzyme id contains a wildcard character. "
"cge00232","Caffeine metabolism","R07945","1,7-Dimethylxanthine <=> 1,7-Dimethyluric acid","irreversible","C13747","C16356","1.14.13.-","","","Enzyme id contains a wildcard character. "
"cge00280","Valine, leucine and isoleucine degradation","R02661","2-Methylpropanoyl-CoA + Acceptor <=> 2-Methylprop-2-enoyl-CoA + Reduced acceptor","irreversible","C00630 C00028","C03460 C00030","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00280","Valine, leucine and isoleucine degradation","R02661","2-Methylpropanoyl-CoA + Acceptor <=> 2-Methylprop-2-enoyl-CoA + Reduced acceptor","reversible","C00630 C00028","C03460 C00030","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00280","Valine, leucine and isoleucine degradation","R02661","2-Methylpropanoyl-CoA + Acceptor <=> 2-Methylprop-2-enoyl-CoA + Reduced acceptor","irreversible","C00630 C00028","C03460 C00030","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00280","Valine, leucine and isoleucine degradation","R02661","2-Methylpropanoyl-CoA + Acceptor <=> 2-Methylprop-2-enoyl-CoA + Reduced acceptor","irreversible","C00630 C00028","C03460 C00030","1.3.99.-","","","Enzyme id contains a wildcard character. "
"cge00280","Valine, leucine and isoleucine degradation","R03383","Methylmalonate + CoA + ATP <=> (R)-Methylmalonyl-CoA + AMP + Diphosphate","irreversible","C02170 C00010 C00002","C01213 C00020 C00013","6.2.1.-","","","Enzyme id contains a wildcard character. "
"cge00330","Arginine and proline metabolism","R02549","4-Aminobutyraldehyde + NAD+ + H2O <=> 4-Aminobutanoate + NADH + H+","irreversible","C00555 C00003 C00001","C00334 C00004 C00080","1.2.1.-","","","Enzyme id contains a wildcard character. "
"cge00330","Arginine and proline metabolism","R03295","Hydroxyproline + FAD <=> L-1-Pyrroline-3-hydroxy-5-carboxylate + FADH2","irreversible","C01157 C00016","C04281 C01352","1.5.-.-","","","Enzyme id contains a wildcard character. "
"cge00330","Arginine and proline metabolism","R10507","L-Proline + FAD <=> (S)-1-Pyrroline-5-carboxylate + FADH2","irreversible","C00148 C00016","C03912 C01352","1.5.-.-","","","Enzyme id contains a wildcard character. "
"cge00350","Tyrosine metabolism","R08965","2 5,6-Dihydroxyindole-2-carboxylate + Oxygen <=> 2 5,6-Indolequinone-2-carboxylic acid + 2 H2O","irreversible","C04185 C00007","C17938 C00001","1.14.18.-","","","Enzyme id contains a wildcard character. "
"cge00450","Selenocompound metabolism","R09373","Se-Methyl-L-selenocysteine + 4-Methylthio-2-oxobutanoic acid <=> Methylselenopyruvate + L-Methionine","irreversible","C05689 C01180","C18904 C00073","2.6.1.-","","","Enzyme id contains a wildcard character. "
"cge00480","Glutathione metabolism","R04951","R-S-Cysteinylglycine + H2O <=> S-Substituted L-cysteine + Glycine","irreversible","C05729 C00001","C05726 C00037","3.4.13.-","","","Enzyme id contains a wildcard character. "
"cge00480","Glutathione metabolism","R00899","Cys-Gly + H2O <=> L-Cysteine + Glycine","irreversible","C01419 C00001","C00097 C00037","3.4.13.-","","","Enzyme id contains a wildcard character. "
"cge00480","Glutathione metabolism","R00899","Cys-Gly + H2O <=> L-Cysteine + Glycine","irreversible","C01419 C00001","C00097 C00037","3.4.13.-","","","Enzyme id contains a wildcard character. "
"cge00480","Glutathione metabolism","R04951","R-S-Cysteinylglycine + H2O <=> S-Substituted L-cysteine + Glycine","irreversible","C05729 C00001","C05726 C00037","3.4.13.-","","","Enzyme id contains a wildcard character. "
"cge00510","N-Glycan biosynthesis","R06264","Dolichyl D-glucosyl phosphate + G10599 <=> Dolichyl phosphate + G00008","irreversible","G10618 G10599","G10622 G00008","2.4.1.-","","","Enzyme id contains a wildcard character. "
"cge00512","Mucin type O-Glycan biosynthesis","R07628","UDP-D-galactose + G00031 <=> UDP + G00032","irreversible","G10609 G00031","G10619 G00032","2.4.1.-","","","Enzyme id contains a wildcard character. "
"cge00512","Mucin type O-Glycan biosynthesis","R07628","UDP-D-galactose + G00031 <=> UDP + G00032","irreversible","G10609 G00031","G10619 G00032","2.4.1.-","","","Enzyme id contains a wildcard character. "
"cge00531","Glycosaminoglycan degradation","R07811","Heparan sulfate + H2O <=> Heparan sulfate + G13034","reversible","C00925 C00001","C00925 G13034","3.2.1.-","","","Enzyme id contains a wildcard character. "
"cge00531","Glycosaminoglycan degradation","R07811","Heparan sulfate + H2O <=> Heparan sulfate + G13034","irreversible","C00925 C00001","C00925 G13034","3.2.1.-","","","Enzyme id contains a wildcard character. "
"cge00531","Glycosaminoglycan degradation","R07811","Heparan sulfate + H2O <=> Heparan sulfate + G13034","irreversible","C00925 C00001","C00925 G13034","3.2.1.-","","","Enzyme id contains a wildcard character. "
"cge00563","Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","R05919","Dolichyl phosphate D-mannose + G00145 <=> Dolichyl phosphate + G00146","irreversible","G10617 G00145","G10622 G00146","","","","Reaction without enzymes. "
"cge00563","Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","R05919","Dolichyl phosphate D-mannose + G00145 <=> Dolichyl phosphate + G00146","irreversible","G10617 G00145","G10622 G00146","","","","Reaction without enzymes. "
"cge00563","Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","R08107","Phosphatidylethanolamine + G00149 <=> 1,2-Diacyl-sn-glycerol + G13044","irreversible","C00350 G00149","C00641 G13044","","","","Reaction without enzymes. "
"cge00563","Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","R05922","Dolichyl phosphate D-mannose + G00148 <=> Dolichyl phosphate + G00149","irreversible","G10617 G00148","G10622 G00149","2.4.1.-","","","Enzyme id contains a wildcard character. "
"cge00563","Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","R05920","Phosphatidylethanolamine + G00146 <=> 1,2-Diacyl-sn-glycerol + G00147","irreversible","C00350 G00146","C00641 G00147","2.7.-.-","","","Enzyme id contains a wildcard character. "
"cge00563","Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","R08107","Phosphatidylethanolamine + G00149 <=> 1,2-Diacyl-sn-glycerol + G13044","irreversible","C00350 G00149","C00641 G13044","","","","Reaction without enzymes. "
"cge00563","Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","R05918","G00144 + Palmitoyl-CoA <=> G00145 + CoA","irreversible","G00144 C00154","G00145 C00010","2.3.-.-","","","Enzyme id contains a wildcard character. "
"cge00563","Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","R05921","Dolichyl phosphate D-mannose + G00147 <=> Dolichyl phosphate + G00148","irreversible","G10617 G00147","G10622 G00148","2.4.1.-","","","Enzyme id contains a wildcard character. "
"cge00564","Glycerophospholipid metabolism","R07377","Phosphatidylcholine + L-Serine <=> Phosphatidylserine + Choline","irreversible","C00157 C00065","C02737 C00114","","","","Reaction without enzymes. "
"cge00564","Glycerophospholipid metabolism","R09034","Acyl-CoA + 1-Acylglycerophosphoinositol <=> CoA + 1-Phosphatidyl-D-myo-inositol","irreversible","C00040 C03819","C00010 C01194","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00564","Glycerophospholipid metabolism","R09037","Acyl-CoA + Monolysocardiolipin <=> CoA + Cardiolipin","irreversible","C00040 C18129","C00010 C05980","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00564","Glycerophospholipid metabolism","R09036","Acyl-CoA + 1-Acyl-sn-glycero-3-phosphoglycerol <=> CoA + Phosphatidylglycerol","irreversible","C00040 C18126","C00010 C00344","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00564","Glycerophospholipid metabolism","R09035","Acyl-CoA + 1-Acyl-sn-glycero-3-phosphoserine <=> CoA + Phosphatidylserine","irreversible","C00040 C18125","C00010 C02737","2.3.1.-","","","Enzyme id contains a wildcard character. "
"cge00565","Ether lipid metabolism","R07380","1-(1-Alkenyl)-sn-glycero-3-phosphoethanolamine + H2O <=> 1-(1-Alkenyl)-sn-glycerol + Ethanolamine phosphate","irreversible","C04635 C00001","C15645 C00346","3.1.4.-","","","Enzyme id contains a wildcard character. "
"cge00590","Arachidonic acid metabolism","R07052","Arachidonate + Oxygen + NADPH + H+ <=> 5,6-EET + NADP+ + H2O","irreversible","C00219 C00007 C00005 C00080","C14768 C00006 C00001","1.14.13.-","","","Enzyme id contains a wildcard character. "
"cge00590","Arachidonic acid metabolism","R07051","Arachidonate + Oxygen + NADPH + H+ <=> 8,9-EET + NADP+ + H2O","irreversible","C00219 C00007 C00005 C00080","C14769 C00006 C00001","1.14.13.-","","","Enzyme id contains a wildcard character. "
"cge00590","Arachidonic acid metabolism","R07050","Arachidonate + Oxygen + NADPH + H+ <=> 11,12-EET + NADP+ + H2O","irreversible","C00219 C00007 C00005 C00080","C14770 C00006 C00001","1.14.13.-","","","Enzyme id contains a wildcard character. "
"cge00590","Arachidonic acid metabolism","R07048","Arachidonate + Oxygen + NADPH + H+ <=> 14,15-EET + NADP+ + H2O","irreversible","C00219 C00007 C00005 C00080","C14771 C00006 C00001","1.14.13.-","","","Enzyme id contains a wildcard character. "
"cge00590","Arachidonic acid metabolism","R07053","Arachidonate + Oxygen <=> 8(S)-HPETE","irreversible","C00219 C00007","C14823","1.13.11.-","","","Enzyme id contains a wildcard character. "
"cge00590","Arachidonic acid metabolism","R07038","Arachidonate + Oxygen <=> 12(R)-HPETE","irreversible","C00219 C00007","C14812","1.13.11.-","","","Enzyme id contains a wildcard character. "
"cge00590","Arachidonic acid metabolism","R07046","Arachidonate + Oxygen + NADPH + H+ <=> 19(S)-HETE + NADP+ + H2O","irreversible","C00219 C00007 C00005 C00080","C14749 C00006 C00001","1.14.13.-","","","Enzyme id contains a wildcard character. "
"cge00590","Arachidonic acid metabolism","R07046","Arachidonate + Oxygen + NADPH + H+ <=> 19(S)-HETE + NADP+ + H2O","irreversible","C00219 C00007 C00005 C00080","C14749 C00006 C00001","1.14.13.-","","","Enzyme id contains a wildcard character. "
"cge00590","Arachidonic acid metabolism","R07046","Arachidonate + Oxygen + NADPH + H+ <=> 19(S)-HETE + NADP+ + H2O","irreversible","C00219 C00007 C00005 C00080","C14749 C00006 C00001","1.14.13.-","","","Enzyme id contains a wildcard character. "
"cge00590","Arachidonic acid metabolism","R07046","Arachidonate + Oxygen + NADPH + H+ <=> 19(S)-HETE + NADP+ + H2O","irreversible","C00219 C00007 C00005 C00080","C14749 C00006 C00001","1.14.13.-","","","Enzyme id contains a wildcard character. "
"cge00590","Arachidonic acid metabolism","R07050","Arachidonate + Oxygen + NADPH + H+ <=> 11,12-EET + NADP+ + H2O","irreversible","C00219 C00007 C00005 C00080","C14770 C00006 C00001","1.14.13.-","","","Enzyme id contains a wildcard character. "
